Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
McBain,1991,181,R,Action|Drama,James Glickenhaus,Michael Joseph DeSare|Chick Vennera|Michael Ironside|Steve James|Thomas G. Waites|Jay Patterson|Christopher Walken|Cris Aguilar|Protacio Dee|Craig Walter Judd|David Pegram|Dinah Dominguez|Jedd Malgaso|Joel Torre|Luv Adele Gaerlan|Maria Conchita Alonso|Zenaida Amador|John Derek Gaerlan|Tony Tacorda|Big Boy Gomez|Mary Walter|Victor Argo|Andy Gill|James Glickenhaus|Forrest Compton|Mark Hammer|Robert Halberg|Richard M. Royer|Raoul Aragonn|Susan Africa|Dominic Marcus|Helen McNeely|Mel Davidson|Glenn Kubota|Joe Basso|Constance Shulman|Fern Dorsey|Juanita Fleming|Greg Gault|Sylvia O'Brien|Luis Guzmán|Karen Duffy|Dick Boccelli|Russell Dennis Baker|Jerry Bailey|Marshall Thompson|Bobby Greenwood|Nigel Redding|Hechter Ubarry|Roy Alvarez|Mervyn Samson|Tito Tesoro|Eddie Gaerlan|Maggie Dela Riva,107,4.6
Mean Machine,2001,3,R,Comedy|Drama|Sport,Barry Skolnick,Vinnie Jones|David Kelly|David Hemmings|Ralph Brown|Vas Blackwood|Robbie Gee|Geoff Bell|John Forgeham|Sally Phillips|Danny Dyer|Jason Flemyng|Jason Statham|Martin Wimbush|David Reid|David Cropman|Tim Perrin|Paul Mari|Nicholas Moss|Stephen Walters|Andrew Grainger|Jake Abraham|Jeff Innocent|Joseph Rye|Jamie Sives|Omid Djalili|Elwin 'Chopper' David|Adam Fogerty|Rocky Marshall|J.J. Connolly|Stephen Bent|Perry Digweed|Charlie Hartfield|Nevin Saroya|Wally Downes|Marc Alexander|Peter Downes|Paul Fishenden|Brian Gayle|Danny Hibert|Mark Lovell|Marc Egan|Tom Fisher|Darren Luckin|Andy Skinner|Kriss Sprules|Ben Wee,99,6.5
Memento,2000,4,R,Mystery|Thriller,Christopher Nolan,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano|Mark Boone Junior|Russ Fega|Jorja Fox|Stephen Tobolowsky|Harriet Sansom Harris|Thomas Lennon|Callum Keith Rennie|Kimberly Campbell|Marianne Muellerleile|Larry Holden|Buzz Visconti,113,8.6
Milk,2008,4,R,Biography|Drama|History,Gus Van Sant,Sean Penn|Emile Hirsch|Josh Brolin|Diego Luna|James Franco|Alison Pill|Victor Garber|Denis O'Hare|Joseph Cross|Stephen Spinella|Lucas Grabeel|Brandon Boyce|Howard Rosenman|Kelvin Yu|Jeff Koons|Ted Jan Roberts|Boyd Holbrook|Frank M. Robinson|Allan Baird|Tom Ammiano|Carol Ruth Silver|Hope Tuck|Steven Wiig|Ashlee Temple|Wendy Tremont King|Kelvin Han Yee|Robert Chimento|Ginabel Machado|Daniel Landroche|Trace Webb|Velina Brown|Scott Patrick Green|Mary Dilts|Roman Alcides|Robert George Nelson|Brian Danker|Richard Gross|Borzin Mottaghian|Brian Yates Sharber|Camron Palmer|Cully Fredricksen|Mark Martinez|Danny Glicker|Catherine Cook|Joe Meyers|Dominic Sahagun|William McElroy|Joey Hoeber|Mark E. Stanger|Christopher Greene|Jesse Caldwell|Paul Arnold|Jack Dunston|Ron Gruetter|Awele Makeba|Tony R. Vella|William M. Verducci|Gilbert Baker|Shavi Blake|Sean Paul Lockhart|Draco Dewar|Dave Franco|Alex Gonzalez|Olen Holm|Elias McConnell|Tom Randol|Lynn McRee|Cleve Jones|John Parson|Jay Kerzner|Kristen Marie Holly|Sandi Ippolito|Roger Groh|Maggie Weiland|Dustin Lance Black|Drew Kuhse|Eric Cook|Roger Mudd|Martin Andris|Matt Austin|John Douglas Ayers|Harmony Blossom|Matthew Bridges|Tom Brokaw|Jerry Brown|Anita Bryant|Greg Cala|Jimmy Carter|Cabran E. Chamberlain|Peaches Christ|John Clerkin|Brad Comfort|Walter Cronkite|Zachary Culbertson|Steve Dakota|Leesha Davis|Maddie Eisler|Patrick Engler|Dianne Feinstein|Yeena Fisher|William H. Frey III|Michael Gillespie|Sean Grady|Blake Cooper Griffin|Tim Halpin|Daryl Anthony Harper|Ryan Hellquist|Stacie Hovland|Peter Jason|Shaun Landry|Mark Lavell|Allan Lazo|Derek Lux|Yoli Mapp|Jill Maragos|Harvey Milk|Kenny New|Logan Petrin|David Alan Poe|John Prudhont|Ronald Reagan|Corbett Redford|Jeff Redlick|Timothy Roberts|Lindy Shukla|Toni Staniewicz|Christopher Sugarman|Jeremiah Turner|April Vancelette|Brian Vowell|Cindy Warner|Steve Wharton|Amron Paul Yuwono,128,7.7
Minority Report,2002,4,PG-13,Action|Mystery|Sci-Fi|Thriller,Steven Spielberg,Tom Cruise|Max von Sydow|Steve Harris|Neal McDonough|Patrick Kilpatrick|Jessica Capshaw|Richard Coca|Keith Campbell|Kirk B.R. Woller|Klea Scott|Frank Grillo|Anna Maria Horsford|Sarah Simmons|Eugene Osment|James Henderson|Vene L. Arcoraci|Erica Ford|Keith Flippen|Nathan Taylor|Radmar Agana Jao|Karina Logue|Elizabeth Anne Smith|Victoria Garcia-Kelleher|Jim Rash|Colin Farrell|Stephen Ramsey|Tom Choi|Tom Whitenight|William Morts|Samantha Morton|Daniel London|Michael Dickman|Matthew Dickman|Lois Smith|Tim Blake Nelson|George Wallace|Ann Ryerson|Kathryn Morris|Tyler Patrick Jones|Dominic Scott Kay|Arye Gross|Ashley Crow|Mike Binder|Joel Gretsch|Jessica Harper|Bertell Lawrence|Jason Antoon|William Mesnik|Scott Frank|Severin Wunderman|Max Trumpower|Allie Raye|Rocael Leiva|Nicholas Edwin Barb|Catfish Bates|Peter Stormare|Caroline Lagerfelt|Danny Parker-Lopes|Vanessa Cedotal|Katy Boyer|Adrianna Kamosa|Kari Gordon|Elizabeth Kamosa|Raquel Gordon|Laurel Kamosa|Fiona Hale|Pamela Roberts|Clement Blake|Jerry Perchesky|Victor Raider-Wexler|Nancy Linehan Charles|Nadia Axakowsky|Dude Walker|Tony Hill|Drakeel Burns|William Mapother|Morgan Hasson|Andrew Sandler|Bonnie Morgan|Kathi Copeland|Ana Maria Quintana|Lucille M. Oliver|Gene Wheeler|Tonya Ivey|David Stifel|Kurt Sinclair|Rebecca Ritz|Beverly Morgan|John Bennett|Maureen Dunn|Ron Ulstad|Blake Bashoff|David Doty|Gina Gallego|David Hornsby|Anne Judson-Yager|Meredith Monroe|Benita Krista Nall|Shannon O'Hurley|Jorge-Luis Pallo|Elizabeth Payne|Ethan Sherman|Jarah Mariano|Miles Dinsmoor|Vanessa Asbert|Michael Ahl|Markus Alexander|Paul Thomas Anderson|Don Austin|Seth Bailey|Spencer A. Beckett II|Robert Randolph Caton|Cameron Crowe|Tom Cutler|Lisa Danielle|Cameron Diaz|Pamela Donnelly|Jumbe Fletcher|Bourke Floyd|Kimiko Gelman|Steven Hack|Tristan Jackson|Baron Jay|Nina Kaczorowski|Rick Kain|George Kardulias|Payman Kayvanfar|Sunny Malick|Kelli Mandruk|Miguel Mas|Sumalee Montano|Rana Morrison|Peechee Neric|Marilyn Rising|Ian Salmon|Riley Schmidt|Jay Shindell|Daniel Browning Smith|Dollar Tan|Christian Taylor|Marty Terry|Clyde Tull|Paul Wesley,145,7.7
Missing in Action,1984,100,,Action|Adventure|Drama|Thriller|War,Joseph Zito,Chuck Norris|M. Emmet Walsh|David Tress|Lenore Kasdorf|James Hong|Ernie Ortega|Pierrino Mascarino|Erich Anderson|Joseph Carberry|Avi Kleinberger|Willie Williams|Ric Segreto|Bella Flores|Gil Arceo|Roger Dantes|Sabatini Fernandez|Renato Morado|James Crumrine|Jeff Mason|Stephen Barbers|Kim Marriner|Deanna Crowe|Jessie Cuneta|Juliet D. Lei|Joonee Gamboa|Augusto Victa|Protacio Dee|Omar Camar|Jack Perez|Richard Bean|Najid Jadali|Rudy Nash|Jean-Claude Van Damme,101,5.2
Mission: Impossible,1996,9,PG-13,Action|Adventure|Thriller,Brian De Palma,Tom Cruise|Jon Voight|Emmanuelle Béart|Henry Czerny|Jean Reno|Ving Rhames|Kristin Scott Thomas|Vanessa Redgrave|Ingeborga Dapkunaite|Valentina Yakunina|Marek Vasut|Nathan Osgood|John McLaughlin|Rolf Saxon|Karel Dobrý|Andreas Wisniewski|David Shaeffer|Rudolf Pechan|Gaston Subert|Ricco Ross|Mark Houghton|Bob Friend|Annabel Mullion|Garrick Hagon|Jirina Trebická|Andrzej Borkowski|Maya Dokic|Sam Douglas|Olegar Fedoro|Carmela Marner|Mimi Potworowska|David Schneider|Helen Lindsay|Pat Starr|Richard D. Sharp|Randall Paul|Sue Doucette|Graydon Gould|Tony Vogel|Michael Rogers|Laura Brook|Morgan Deare|David Phelan|Melissa Knatchbull|Ion Caramitru|Dale Dye|Marcel Iures|Keith Campbell|Michael Cella|Emilio Estevez|Harry Fielder|John Knoll,110,7.0
Mission: Impossible II,2000,37,PG-13,Action|Adventure|Thriller,John Woo,Tom Cruise|Dougray Scott|Thandie Newton|Ving Rhames|Richard Roxburgh|John Polson|Brendan Gleeson|Rade Serbedzija|William Mapother|Dominic Purcell|Mathew Wilkinson|Nicholas Bell|Cristina Brogeras|Kee Chan|Kim Fleming|Alan Lovell|Dan Luxton|Christian Manon|Karl McMillan|Lester Morris|Kelly Ons|Nicholas Papademetriou|Brett Partridge|Candice Partridge|Natalie Reis|Daniel Roberts|Adriana Rodríguez|Sandra Rodríguez|Nada Rogic|Antonio Vargas|Alison Araya|Mark Connolly|Anthony Hopkins|Patrick Marber|William Morts|Tory Mussett|Paul Roget|Shant Sarkissian|Darren Dupree Washington,123,6.0
Mission: Impossible III,2006,23,PG-13,Action|Adventure|Thriller,J.J. Abrams,Tom Cruise|Philip Seymour Hoffman|Ving Rhames|Billy Crudup|Michelle Monaghan|Jonathan Rhys Meyers|Keri Russell|Maggie Q|Simon Pegg|Eddie Marsan|Laurence Fishburne|Bahar Soomekh|Jeff Chase|Michael Berry Jr.|Carla Gallo|Bellamy Young|Paul Keeley|Jane Daly|Greg Grunberg|Sabra Williams|Rose Rollins|Sasha Alexander|Tracy Middendorf|Aaron Paul|Kathryn Fiore|Colleen Crozier|Sean O'Bryan|Bruce French|Ellen Bry|Patrick Pankhurst|Tony Guma|James Shanklin|Anne Betancourt|Antonietta De Lorenzo|Andrea Sartoretti|Antonio Del Prete|Francesco De Vito|Giorgio Marchesi|Niccolò Senni|Paolo Bonacelli|David Waters|Michael G. Kehoe|Timothy Omundson|José Zúñiga|William Francis McGuire|Michelle Arthur|Barney Cheng|Robert Alonzo|Brandon P Bell|Paul A. Brown|Jaymes Butler|George Cheung|Abra Chouinard|Charles Rahi Chun|Sandi Craig|Jonathan Dixon|Paul Edney|Dana Dru Evenson|Michael Fisher|Jillian Fontaine|Allison Giannini|Yoshio Iizuka|Diane Marshall-Green|Daniel Mindel|Brandon Molale|Douglas Price|Kwame Rakes|Evan Shields|Tim L. Smith|Ben Solenberger|Lucille Soong|John H. Tobin|Jasmine Brooke White|Ty Williams,126,6.8
The Mist,2007,46,R,Horror|Sci-Fi|Thriller,Frank Darabont,Thomas Jane|Marcia Gay Harden|Laurie Holden|Andre Braugher|Toby Jones|William Sadler|Jeffrey DeMunn|Frances Sternhagen|Nathan Gamble|Alexa Davalos|Chris Owen|Sam Witwer|Robert C. Treveiler|David Jensen|Melissa McBride|Andy Stahl|Buck Taylor|Brandon O'Dell|Jackson Hurst|Brian Libby|Susan Malerstein|Mathew Greer|Juan Gabriel Pareja|Walter Fauntleroy|Amin Joseph|Kelly Lintz|Ginnie Randall|Tiffany Morgan|Kim Wall|Julio Cedillo|Ron Clinton Smith|Gregg Brazzel|Sonny Franks|Dodie Brown|Taylor E. Brown|Jay Amor|Kristin Barnhart|Kevin Beard|Derek Cox-Berg|Kip Cummings|John F. Daniel|Tammy Eaton|Ron Fagan|Ted Ferguson|Travis Fontenot|Louis Herthum|Walt Hollis|Pamela Houghton|Brian Scott Hunt|Jimmy Lee Jr.|Cherami Leigh|Mike Martindale|Cindy McBride|Eric Kelly McFarland|Amy McGee|Ritchie Montgomery|Michaela Morgan|Darrick Mosley|Chuck Vail|Steven E. Williams,126,7.2
Mortal Kombat,1995,11,PG-13,Action|Adventure|Fantasy|Sci-Fi|Thriller,Paul W.S. Anderson,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg|Steven Ho|Peter Jason|Lloyd Kino|Gregory McKinney|Mikal Moore|Brice Stephens|Frank Welker|Ed Boon|Kevin Michael Richardson|Leo Anastasio|Richard Branden|Jaime H. Campos|Deanna Hodges|Alex Morissen|T.J. Storm|Tom Woodruff Jr.,101,5.8
Mr. & Mrs. Smith,2005,43,PG-13,Action|Comedy|Romance,Doug Liman,Brad Pitt|Angelina Jolie|Vince Vaughn|Adam Brody|Kerry Washington|Keith David|Chris Weitz|Rachael Huntley|Michelle Monaghan|Stephanie March|Jennifer Morrison|Theresa Barrera|Perrey Reeves|Melanie Tolbert|Jerry T. Adams|Elijah Alexander|Hans F. Alexander|Lauryn Alvarez|Burke Armstrong|Ron Bottitta|Earl H. Bullock|Miguel Angel Caballero|Victor A. Chapa|Maree Cheatham|Laine Collins|Noah Dahl|Merrilee Dale|Chris Daniels|Patrika Darbo|Jennifer DeMille|Tyce Diorio|Patricia Donaldson|Sabi Dorr|Greg Ellis|David Escobedo|Kaela Freeman|Megan Gallagher|Amy Hathaway|Jessica Hedden|Katherine Herzer|Nigel Hudson|Ravil Isyanov|Stephanie Ittleson|Mark Ivanir|Benton Jennings|Simon Kinberg|Peter Lavin|Deren LeRoy|Sean Mahon|Kevin Makely|Mike McCaul|Derek Medina|Will Moore|Joel Munoz|Mark Newsom|Richie Ornelas|Jordan Osher|Edward Padilla|Eugene C. Palmer|Luis Racer|Liz Ramos|Leonard Robinson|Felix A. Ruiz|Sam Sabbah|Kim Schioldan|Ty Sharp|Jimmy Shubert|Abigail Rose Solomon|Hannah Von Kanel|Ali Marsh|Kim H. Winther|Michael Winther|Michael-John Wolfe|Jeff Yagher|Bryan Anthony|Douglas Caldwell|R.J. Durell|Melissa Hurley|Jacqui Landrum|Carol Mack|Michael Morris|Gloria Rodriguez|Linda Kathleen Taylor|Anne Vardanian|Ara Vardanian|Luis Vasquez|John W. Woodruff|Jennifer Amorelli|Mark Barba|Angela Bassett|Julius Callahan|William Fichtner|Shilo Frontierro|James Groh|Luis Juarez|Janelle Marra|Sara Painter|Heather Petrone|Raphael Verela|Bill Viney|Seth T. Walker|Hawk Younkins,120,6.4
Mr. Brooks,2007,9,R,Crime|Drama|Mystery|Thriller,Bruce A. Evans,Kevin Costner|Demi Moore|Dane Cook|William Hurt|Marg Helgenberger|Ruben Santiago-Hudson|Danielle Panabaker|Aisha Hinds|Lindsay Crouse|Jason Lewis|Reiko Aylesworth|Matt Schulze|Yasmine Delawari|Traci Dinwiddie|Michael Cole|Jim Farnum|Megan Brown|Ross Francis|Kit Gwin|Marcus Hester|Jamie McShane|Laura Bailey|Jon Paul Burkhart|Matthew Posey|Brandon Olive|Rosie Cafarelli|Ben Glass|Kanin Howell|Steve Coulter|Stephen Michael Ayers|Mark Scarboro|Brad Evans|David Gibbons|Jasa Abreo|Rommel Sulit|Phillip DeVona|Dodie Brown|Ted Ferguson|Chuck Halley|Deborah R. Jones|Gio March|Colvin Roberson|Van White|Steven E. Williams|Cindi Woods,120,7.4
The Mummy,1999,155,PG-13,Action|Adventure|Fantasy,Stephen Sommers,Brendan Fraser|Rachel Weisz|John Hannah|Arnold Vosloo|Kevin J. O'Connor|Jonathan Hyde|Oded Fehr|Erick Avari|Stephen Dunham|Corey Johnson|Tuc Watkins|Omid Djalili|Aharon Ipalé|Bernard Fox|Patricia Velasquez|Carl Chase|Mohammed Afifi|Abderrahim El Aadili|Jake Arnott|Mason Ball|Isobel Brook|James Traherne Burton|Peter Chequer|Porl Smith|Ian Warner|George Lane Cooper|Sean Cronin|Ray Donn|Howie Dorough|Andrew Elias|João Costa Menezes,125,7.0
Munich,2005,49,R,Drama|History|Thriller,Steven Spielberg,Eric Bana|Daniel Craig|Ciarán Hinds|Mathieu Kassovitz|Hanns Zischler|Ayelet Zurer|Geoffrey Rush|Gila Almagor|Michael Lonsdale|Mathieu Amalric|Moritz Bleibtreu|Valeria Bruni Tedeschi|Meret Becker|Marie-Josée Croze|Yvan Attal|Ami Weinberg|Lynn Cohen|Amos Lavi|Moshe Ivgy|Michael Warshaviak|Ohad Shahar|Rafael Tabor|Sharon Alexander|Samuel Calderon|Oded Teomi|Alon Aboutboul|Makram Khoury|Igal Naor|Hiam Abbass|Mouna Soualem|Mostefa Djadjam|Assi Cohen|Lisa Werlinder|Djemel Barek|Dirar Suleiman|Ziad Adwan|Bijan Daneshmand|Rim Turkhi|Jonathan Rozen|Jonathan Uziel|Guy Zoaretz|Yossi Sagie|Liron Levo|Ohad Knoller|Charley Gilleran|Lyès Salem|Carim Messalti|Hichem Yacoubi|Omar Mostafa|Mahmoud Zemmouri|Souad Amidou|Amrou Alkadhi|Omar Metwally|Nasser Memarzia|Abdelhafid Metalsi|Karim Quayouh|Mihalis Giannatos|Faruk Pruti|Rad Lazar|Laurence Février|Habir Yahya|Mehdi Nebbou|Hicham Nazzal|Lemir Guerfa|Hisham Silman|Brian Goodman|Richard Brake|Robert John Burke|Yehuda Levi|Danny Zahavi|Itay Barnea|Elyse Klaits|Nabil Yajjou|Karim Saleh|Merik Tadros|Mousa Kraish|Karim Saidi|Moa Khouas|David Ali Hamade|Ben Youcef|Sami Samir|Guri Weinberg|Sam Feuer|Sabi Dorr|Wojciech Machnicki|David Feldman|Ori Pfeffer|Shmuel Edelman|Joseph Sokolsky|Lior Perel|Ossie Beck|Guy Amir|Haguy Wigdor|Jonathan Avigdori|Kevin Collins|Daniel Bess|Baya Belal|Ula Tabari|Saïda Bekkouche|Fattouma Ousliha Bouamari|Alexander Beyer|Amos Shoov|Rana Werbin|Jane Garioni|Félicité Du Jeu|Gil Soriano|Mordechai Ben-Shachar|Amani Zain|Leda Mansour|Sasha Spielberg|Renana Raz|Hagit Dasberg|Patrick Kennedy|Stéphane Freiss|Arturo Arribas|Yaron Motola|Jalil Naciri|Martin Ontrop|Joram Voelklein|Michael Schenk|Andreas Lust|Tom Wlaschiha|Haj Ibrahim Bassel|Xavier Bonastre|Lili Bordán|Vincent Bowen|Jaymes Butler|María Casal|Arthur Chazal|Greg D'Agostino|Geoffrey Dowell|François Guillaume|Sonia Hell|Amelia Jacob|Arnaud Marciszewer|Rob McCabe|George Mendel|Sarah Mennell|Ben O'Brien|Léo Paget|Lucas Sehili|Samy Sehili|Dianne Zaremba|Marek Zerba,164,7.7
The Musketeer,2001,56,PG-13,Action|Drama|Adventure|Romance,Peter Hyams,Catherine Deneuve|Mena Suvari|Stephen Rea|Tim Roth|Justin Chambers|Bill Treacher|Daniel Mesguich|David Schofield|Nick Moran|Steve Speirs|Jan-Gregor Kremp|Jeremy Clyde|Michael Byrne|Jean-Pierre Castaldi|Tsilla Chelton|Luc Gentil|Catherine Erhardy|Max Dolbey|Florent Bigot de Nesles|Stefan Jürgens|Anne-Marie Pisani|Carrie Mullan|Joachim Paul Assböck|Oscar Ortega Sánchez|Sven Walser|Marco Lorenzini|Jean-François Wolff|Bertrand Witt|Stefan Weinert|Patrick Dean|Christian Bergmann|Sascha Schiffbauer|Sven Nichulski|Frank Ferner|Jean-Luc Ristic|Roland Stemmer|Jo Stock|Dean Gregory|Ciaran Mulhern|Gilles Soeder|Sigal Diamant|Thomas Goersch|Chas Warlow,104,4.7
My Bloody Valentine,2009,24,R,Horror|Thriller,Patrick Lussier,Jensen Ackles|Jaime King|Kerr Smith|Betsy Rue|Edi Gathegi|Tom Atkins|Kevin Tighe|Megan Boone|Karen Baum|Joy de la Paz|Marc Macaulay|Todd Farmer|Jeff Hochendoner|Bingo O'Malley|Liam Rhodes|Michael McKee|Andrew Larson|Jarrod DiGiorgi|Selene Luna|Cherie McClain|Richard John Walters|David Whalen|Denise Dal Vera|Sam Nicotero|Tim Hartman|Ruth Flaherty|Annie Kitral|Jerry Johnston|Rita Gregory|Brandi Engel|Mightie Louis Greenberg|Nicole Leigh Belle|Sara Brooks|Chris Carnel|Sam Harris|Greg Hartle|Jesse Iwanonkiw|John W. Iwanonkiw|Jeffrey Jones|William Kania|Nick Kincaid|George Macbeth|Zachary Mazefsky|Sean P. McCarthy|Jackson Nunn|Beth Pedone|Jared Pfennigwerth|Kyle Quinn|Joe Shelby|Henry Tjernlund|James Werley|Giovanna Yannotti,101,5.5
The New World,2005,28,PG-13,Biography|Drama|History|Romance,Terrence Malick,Colin Farrell|Q'orianka Kilcher|Christopher Plummer|Christian Bale|August Schellenberg|Wes Studi|David Thewlis|Yorick van Wageningen|Raoul Trujillo|Michael Greyeyes|Kalani Queypo|Ben Mendelsohn|Noah Taylor|Brían F. O'Byrne|Ben Chaplin|Jamie Harris|Janine Duvitski|Eddie Marsan|Joe Inscoe|Jake Curran|John Savage|Thomas Clair|Alex Rice|Irene Bedard|Ford Flannagan|Bev Appleton|Billy Merasty|Jonathan Pryce|Alexandra W.B. Malick|Jasper Britton|Myrton Running Wolf|E. Danny Murphy|Jonathan Gonitel|Brian Merrick|Chris Nelson|Colin Cox|Will Wallace|Steven Dawn|Rulan Tangen|Jesse Borrego|Todd Wallace|Kirk Acevedo|Nive Nielsen|Tayla Kean|Thomas Steven McDonagh|James McDonagh|Gary Sundown|Michael Goodwin|Sam Stevenson|Maria Pastel|Raynor Scheine|Jeremy Radin|Matthew Yeung|Gregory Labenz|Arturo Adrian|Bear Allison|Jeremy Arviso|Thosh Collins|Brian Frejo|Marcus Frejo|Wewhum Fulwider|Quetzal Guerrero|Lyle Kochamp|Alex Meraz|Anthony Parker|Larry T. Pourier|Damien Ritter|Cory Rodriguez|Lawrence Santiago|Zades Trujillo|Chad O. Allen|Jason Aaron Baca|Blake Bess|Joey Cabrera|Yuriy Cherepnya|Ilram Choi|Greg Cooper|Nigel Martin Davey|Robin Atkin Downes|Michael Fisher|Nathan Hall|Stephen Humby|Henry Jaderlund|Terry Jernigan|Kawan Kean|Kainoa Kilcher|Marshall Dancing Elk Lucas|Nick Meaney|Fred Ortiz|Josh Padgett|John Pagano|Trevor Payne|Roger Rees|Melanie Reese|John Saba|Tim L. Smith|David Spratt|Adam Russell Stuart|Jeremy Wade|Gayle Yiotis,135,6.7
A Nightmare on Elm Street,1984,4,,Horror,Wes Craven,John Saxon|Ronee Blakley|Heather Langenkamp|Amanda Wyss|Jsu Garcia|Johnny Depp|Charles Fleischer|Joseph Whipp|Robert Englund|Lin Shaye|Joe Unger|Mimi Craven|Jack Shea|Ed Call|Sandy Lipton|David Andrews|Jeff Levine|Donna Woodrum|Shashawnee Hall|Carol Pritikin|Brian Reise|Ash Adams|Don Hannah|Leslie Hoffman|Paul Grenier|John Richard Petersen|Antonia Yannouli,91,7.5
No Country for Old Men,2007,22,R,Crime|Drama|Thriller,Ethan Coen|Joel Coen,Tommy Lee Jones|Javier Bardem|Josh Brolin|Woody Harrelson|Kelly Macdonald|Garret Dillahunt|Tess Harper|Barry Corbin|Stephen Root|Rodger Boyce|Beth Grant|Ana Reeder|Kit Gwin|Zach Hopkins|Chip Love|Eduardo Antonio Garcia|Gene Jones|Myk Watford|Boots Southerland|Kathy Lamkin|Johnnie Hector|Margaret Bowman|Thomas Kopache|Jason Douglas|Doris Hargrave|Rutherford Cravens|Matthew Posey|George Adelo|Mathew Greer|Trent Moore|Marc Miles|Luce Rains|Philip Bentham|Eric Reeves|Josh Meyer|Chris Warner|Brandon Smith|Roland Uribe|Richard Jackson|Josh Blaylock|Caleb Landry Jones|Dorsey Ray|Angel H. Alvarado Jr.|David A. Gomez|Milton Hernandez|John Mancha|Scott Flick|Albert Fry Jr.|Angelo Martinez|Elizabeth Slagsvol,122,8.2
The Number 23,2007,10,R,Drama|Mystery|Thriller,Joel Schumacher,Jim Carrey|Virginia Madsen|Logan Lerman|Danny Huston|Lynn Collins|Rhona Mitra|Michelle Arthur|Mark Pellegrino|Paul Butcher|David Stifel|Corey Stoll|Ed Lauter|Troy Kotsur|Walter Soo Hoo|Patricia Belcher|Rudolph Willrich|John Fink|Julie Remala|Tara Karsian|Kerry Hoyt|Jennifer Lee Grafton|Tom Lenk|Ka'ramuu Kush|Helen Jordan|Eddie Rouse|Lesli Margherita|Maile Flanagan|Bob Zmuda|Susan Kitchen|Coier Amerson|Michael Hurley|Donna G. Earley|Shakti Shannon|Tony Alameda|Butch|Bud Cort|Taylor McCluskey|Jean-Pierre Parent|K.T. Rowe,101,6.3
Octopussy,1983,46,,Action|Adventure|Crime|Thriller,John Glen,Roger Moore|Maud Adams|Louis Jourdan|Kristina Wayborn|Kabir Bedi|Steven Berkoff|David Meyer|Tony Meyer|Desmond Llewelyn|Robert Brown|Lois Maxwell|Michaela Clavell|Walter Gotell|Vijay Amritraj|Albert Moses|Geoffrey Keen|Douglas Wilmer|Andy Bradford|Philip Voss|Bruce Boa|Richard LeParmentier|Paul Hardwick|Suzanne Jerome|Cherry Gillespie|Dermot Crowley|Peter Porteous|Eva Reuber-Staier|Jeremy Bulloch|Tina Hudson|William Derrick|Stuart Saunders|Patrick Barr|Gabor Vernon|Hugo Bower|Ken Norris|Tony Arjuna|Gertan Klauber|Brenda Cowling|David Grahame|Brian Coburn|Michael Halphie|Mary Stavin|Carolyn Seaward|Carole Ashby|Cheryl Anne|Jani-Z|Julie Martin|Joni Flynn|Julie Barth|Kathy Davies|Helene Hunt|Gillian De Terville|Safira Afzal|Louise King|Tina Robinson Hansen|Alison Worth|Janine Andrews|Lynda Knight|Susanne Dando|Teresa Craddock|Kirsten Harrison|Christine Cullers|Lisa Jackman|Jane Aldridge|Christine Gibson|Tracy Llewellyn|Ruth Flynn|Roberto Germains|Richard Graydon|Troupe The Hassani|Cherokees The Flying|Carol Richter|Josef Richter|Vera Fossett|Shirley Fossett|Barrie Winship|Ravinder Singh Reyett|Gurdial Sira|Michael Moor|Sven Surtees|Peter Edmund|Ray Charles|Talib Johnny|R.J. Bell|Ken Burns|Ishaq Bux|Sally Dewhurst|Reg Harding|Jennifer Hill|Nick Hobbs|Eugene Lipinski|Derek Lyons|Ingrid Pitt|Lenny Rabin|Reggae Ranjhe|Gary Russell|Gito Santana|Nicola Stapleton|Michael G. Wilson,131,6.6
The Omen,2006,8,R,Horror|Mystery|Thriller,John Moore,Predrag Bjelac|Carlo Sabatini|Bohumil Svarc|Liev Schreiber|Giovanni Lombardo Radice|Baby Zikova|Baby Morvas|Baby Muller|Baby Litera|Julia Stiles|Tomas Wooler|Rafael Sallas|Marshall Cupp|Martin Hindy|Seamus Davey-Fitzpatrick|Amy Huck|Vince Valitutti|David Thewlis|Klara Low|Laurie Tallack|MyAnna Buring|Harvey Stephens|Kammy Darweish|Reggie Austin|Tonya Graves|Pete Postlethwaite|Changa Bell|Janet Henfrey|Mia Farrow|Pavel Cajzl|Sara Houghton|Richard Rees|Nikki Amuka-Bird|Federico Pacifici|Alessandra Vanzi|Massimo Bellinzoni|Vee Vimolmal|Joe Towne|Michael Gambon|Curtis Matthew,110,5.5
